Strain	Flagellin
Desulfomicrobium_baculatum_DSM_4028	1
Desulfomicrobium_orale_DSM_12838	1
Desulfomonile_tiedjei_DSM_6799	0
Desulfosarcina_alkanivorans_PL12	1
Desulfosarcina_ovata_oXyS1	1
Desulfosarcina_widdelii_PP31	1
Desulfotalea_psychrophila_LSv54	0
Desulfovibrio_alaskensis_G20	1
Desulfovibrio_carbinolicus_DSM_3852	1
Desulfovibrio_carbinoliphilus_FW-101-2B	1
Desulfovibrio_desulfuricans_ND132	1
Desulfovibrio_fairfieldensis_CCUG_45958	1
Desulfovibrio_ferrophilus_IS5	1
Desulfovibrio_gigas_ATCC_19364	1
Desulfovibrio_hydrothermalis_AM13	1
Desulfovibrio_magneticus_RS-1	1
Desulfovibrio_piger_FI11049	0
Desulfovibrio_salexigens_DSM_2638	1
Desulfovibrio_vulgaris_Hildenborough	1
Desulfurella_acetivorans_A63	1
Desulfurivibrio_alkaliphilus_AHT_2	1
Desulfuromonas_soudanensis_WTL	0
Geoalkalibacter_subterraneus_Red1	1
Geobacter_anodireducens_SD-1	1
Geobacter_bemidjiensis_Bem	1
Geobacter_daltonii_FRC-32	1
Geobacter_lovleyi_SZ	1
Geobacter_metallireducens_GS-15	1
Geobacter_pickeringii_G13	1
Geobacter_sulfurreducens_PCA	1
Geobacter_uraniireducens_Rf4	1
Halarcobacter_bivalviorum_LMG_26154	1
Haliangium_ochraceum_DSM_14365	0
Helicobacter_acinonychis_Sheeba	1
Helicobacter_apodemus_SCJK1	1
Helicobacter_bilis_AAQJH	1
Helicobacter_bizzozeronii_CIII-1	1
Helicobacter_canadensis_MIT_98-5491	1
Helicobacter_cetorum_MIT_99-5656	1
Helicobacter_cholecystus_NCTC13205	1
Helicobacter_cinaedi_ATCC_BAA-847	1
Helicobacter_felis_ATCC_49179	1
Helicobacter_hepaticus_ATCC_51449	1
Helicobacter_himalayensis_YS1	1
Helicobacter_mustelae_NCTC12198	1
Helicobacter_pylori_NCTC_11637	1
Helicobacter_typhlonius_1	1
Hippea_maritima_DSM_10411	1
Labilithrix_luteola_DSM_27648	1
Lawsonia_intracellularis_PHE_MN1-00	1
Melittangium_boletus_DSM_14713	0
Minicystis_rosea_DSM_24000	0
Myxococcus_hansupus_mixupus	0
Myxococcus_macrosporus_DSM_14697	0
Myxococcus_stipitatus_DSM_14675	0
Myxococcus_xanthus_DK_1622	0
Nautilia_profundicola_AmH	1
Nitratifractor_salsuginis_DSM_16511	0
Pajaroellobacter_abortibovis_BTF92-0548A_99-0131	0
Pelobacter_acetylenicus_DSM_3246	1
Pelobacter_carbinolicus_DSM_2380	1
Pelobacter_propionicus_DSM_2379	1
Pseudodesulfovibrio_aespoeensis_Aspo-2	1
Pseudodesulfovibrio_indicus_J2	1
Pseudodesulfovibrio_piezophilus_type_strain_C1TLV30	1
Pseudodesulfovibrio_profundus_500-1	1
Sandaracinus_amylolyticus_DSM_53668	0
Sorangium_cellulosum_So_ce_56	0
Stigmatella_aurantiaca_DW4_3-1	0
Sulfuricurvum_kujiense_DSM_16994	1
Sulfurimonas_autotrophica_DSM_16294	1
Sulfurimonas_denitrificans_DSM_1251	1
Sulfurimonas_gotlandica_GD1	1
Sulfurospirillum_barnesii_SES-3	1
Sulfurospirillum_cavolei_UCH003	1
Sulfurospirillum_deleyianum_DSM_6946	1
Sulfurospirillum_halorespirans_DSM_13726_PCE-M2	1
Sulfurospirillum_multivorans_DSM_12446	1
Sulfurovum_lithotrophicum_ATCC_BAA-797	0
Syntrophobacter_fumaroxidans_MPOB	0
Syntrophus_aciditrophicus_SB	1
Vulgatibacter_incomptus_DSM_27710	1
Wolinella_succinogenes_DSMZ_1740	1
Acidihalobacter_ferrooxidans_V8	1
Acidihalobacter_prosperus_F5	1
Acinetobacter_baumannii_ATCC_19606	0
Acinetobacter_baylyi_ADP1	0
Acinetobacter_bereziniae_XH901	0
Acinetobacter_calcoaceticus_CA16	0
Acinetobacter_chinensis_WCHAc010005	0
Acinetobacter_cumulans_WCHAc060092	0
Acinetobacter_defluvii_WCHA30	0
Acinetobacter_dispersus_NCCP_16014	0
Acinetobacter_equi_114	0
Acinetobacter_guillouiae_NBRC_110550	0
Acinetobacter_haemolyticus_TJS01	0
Acinetobacter_johnsonii_XBB1	0
Acinetobacter_junii_65	0
Acinetobacter_lactucae_OTEC-02	0
Acinetobacter_larvae_BRTC-1	0
Acinetobacter_lwoffii_FDAARGOS_552	1
Acinetobacter_nosocomialis_6411	0
Acinetobacter_oleivorans_DR1	0
Acinetobacter_pittii_ST220	0
Acinetobacter_schindleri_SGAir0122	0
Acinetobacter_soli_GFJ2	0
Acinetobacter_venetianus_VE-C3	0
Acinetobacter_wuhouensis_WCHA60	0
Actinobacillus_delphinicola_NCTC12871	0
Actinobacillus_equuli_NCTC8529	0
Actinobacillus_indolicus_AIFJ1607	0
Actinobacillus_lignieresii_NCTC10568	0
Actinobacillus_pleuropneumoniae_S4074	0
Actinobacillus_porcitonsillarum_9953L55	0
Actinobacillus_succinogenes_130Z	0
Actinobacillus_suis_ATCC_33415	0
Aeromonas_caviae_NCTC12244	1
Aeromonas_dhakensis_KN-Mc-6U21	1
Aeromonas_encheleia_NCTC12917	1
Aeromonas_hydrophila_ATCC_7966	1
Aeromonas_media_WS	1
Aeromonas_rivipollensis_KN-Mc-11N1	1
Aeromonas_salmonicida_A449	1
Aeromonas_schubertii_WL1483	1
Aeromonas_veronii_B565	1
Aerosticca_soli_Dysh456	1
Agarilytica_rhodophyticola_17	1
Agarivorans_gilvus_WH0801	1
Aggregatibacter_actinomycetemcomitans_624	0
Aggregatibacter_aphrophilus_NCTC5906	0
Aggregatibacter_segnis_NCTC10977	0
Ahniella_affigens_D13	0
Alcanivorax_borkumensis_SK2	0
Alcanivorax_dieselolei_B5	1
Alcanivorax_pacificus_W11-5	1
Alcanivorax_xenomutans_P40	1
Aliivibrio_fischeri_ES114	1
Aliivibrio_salmonicida_LFI1238	1
Aliivibrio_wodanis_NoStrain5	1
Alkalilimnicola_ehrlichii_MLHE-1	1
Allochromatium_vinosum_DSM_180	1
Allofrancisella_guangzhouensis_08HL01032	0
Alteromonas_addita_R10SW13	1
Alteromonas_australica_H_17	1
Alteromonas_macleodii_ATCC_27126	1
Alteromonas_mediterranea_DE	1
Alteromonas_naphthalenivorans_SN2	1
Alteromonas_pelagimontana_5.12	1
Alteromonas_stellipolaris_LMG_21861	1
Aquicella_lusitana_SGT-39	1
Aquicella_siphonis_SGT-108	1
Arenimonas_daejeonensis_KACC_14631	1
Arsenophonus_endosymbiont_ARAD	0
Arsenophonus_nasoniae_FIN	1
Avibacterium_volantium_NCTC3438	0
Azotobacter_chroococcum_NCIMB_8003	0
Azotobacter_salinestris_KACC_13899	1
Azotobacter_vinelandii_DJ_ATCC_BAA-1303	1
Bacterioplanes_sanyensis_NV9	1
Bathymodiolus_thermophilus_EPR9N	0
Beggiatoa_leptomitoformis_D-401	0
Bibersteinia_trehalosi_USDA-ARS-USMARC-192	0
Blochmannia_endosymbiont_675	0
Blochmannia_endosymbiont_757	0
Blochmannia_endosymbiont_CNIEBac	0
Brenneria_goodwinii_FRB141	1
Brenneria_nigrifluens_ATCC_13028	1
Brenneria_rubrifaciens_6D370	1
Buchnera_aphidicola_Meu	0
Candidatus_Vesicomyosocius_okutanii_HA	0
Cardiobacterium_hominis_NCTC10426	0
Catenovulum_sediminis_WS1-A	1
Cedecea_lapagei_NCTC11466	1
Cedecea_neteri_SSMD04	1
Cellvibrio_japonicus_Ueda107	1
Chania_multitudinisentens_RB-25	1
Chromohalobacter_salexigens_DSM_3043	1
Citrobacter_amalonaticus_Y19	1
Citrobacter_braakii_FDAARGOS_253	1
Citrobacter_farmeri_AUSMDU00008141	1
Citrobacter_freundii_CFNIH1	1
Citrobacter_koseri_ATCC_BAA-895	1
Citrobacter_portucalensis_Effluent_1	1
Citrobacter_rodentium_ICC168	1
Citrobacter_werkmanii_BF-6	1
Citrobacter_youngae_NCTC13709	1
Cobetia_marina_JCM_21022	1
Colwellia_beringensis_NB097-1	1
Colwellia_psychrerythraea_34H_BAA-681	1
Congregibacter_litoralis_KT71	1
Coxiella_burnetii_Dugway_5J108-111	0
Coxiella_endosymbiont_C904	0
Coxiella_endosymbiont_CeAS-UFV	0
Coxiella-like_endosymbiont_CLE-AaGA	0
Cronobacter_condimenti_LMG_26250	1
Cronobacter_dublinensis_LMG_23823	1
Cronobacter_malonaticus_LMG_23826	1
Cronobacter_muytjensii_ATCC_51329	1
Cronobacter_sakazakii_ATCC_29544	1
Cronobacter_turicensis_NoStrain2	1
Cronobacter_universalis_NCTC_9529	1
Dichelobacter_nodosus_VCS1703A	0
Dickeya_chrysanthemi_Ech1591	1
Dickeya_dadantii_DSM_18020	1
Dickeya_dianthicola_ME23	1
Dickeya_fangzhongdai_DSM_101947	1
Dickeya_paradisiaca_Ech703	1
Dickeya_solani_IPO_2222	1
Dickeya_zeae_EC1	1
Dokdonella_koreensis_DS-123	0
Dyella_japonica_A8	1
Dyella_thiooxydans_ATSB10	1
Edwardsiella_anguillarum_ET080813	1
Edwardsiella_hoshinae_ATCC_35051	1
Edwardsiella_ictaluri_93-146	1
Edwardsiella_piscicida_C07-087	1
Edwardsiella_tarda_EIB202	1
endosymbiont_of_Monju	0
endosymbiont_of_Myojin_Knoll	0
endosymbiont_of_NAREPO1	0
endosymbiont_of_NARPIN1	0
endosymbiont_of_NARSGI1	0
Endozoicomonas_montiporae_CL-33	1
Enterobacter_asburiae_ATCC_35953	1
Enterobacter_bugandensis_EB-247	1
Enterobacter_cancerogenus_MiY-F	1
Enterobacter_chengduensis_WCHECl-C4_WCHECh050004	1
Enterobacter_cloacae_ATCC_13047	1
Enterobacter_hormaechei_DSM_16691	1
Enterobacter_kobei_DSM_13645	1
Enterobacter_lignolyticus_SCF1	1
Enterobacter_ludwigii_EN-119	1
Enterobacter_oligotrophica_CCA6	1
Enterobacter_roggenkampii_DSM_16690	1
Enterobacter_sichuanensis_SGAir0282	1
Enterobacter_soli_LF7a	1
Erwinia_amylovora_CFPB1430	1
Erwinia_billingiae_Eb661	1
Erwinia_gerundensis_E_g_EM595	1
Erwinia_pyrifoliae_Ep1_96	1
Erwinia_tasmaniensis_Et1_99	1
Escherichia_albertii_KF1	1
Escherichia_coli_ATCC_11775	1
Escherichia_fergusonii_ATCC_35469T	1
Escherichia_marmotae_HT073016	1
Ferrimonas_balearica_DSM_9799	1
Fluoribacter_dumoffii_NY_23	1
Francisella_adeliensis_FDC440	0
Francisella_frigiditurris_CA97-1460	0
Francisella_halioticida_DSM_23729	0
Francisella_hispaniensis_CCUG_58020	0
Francisella_marina_E95-16	0
Francisella_noatunensis_LADL--07-285A	0
Francisella_opportunistica_PA05-1188	0
Francisella_persica_FSC845	0
Francisella_salina_TX07-7308	0
Francisella_tularensis_U112	0
Francisella_uliginis_TX07-7310	0
Frateuria_aurantia_DSM_6220	1
Frischella_perrara_PEB0191	1
Gallaecimonas_mangrovi_HK-28	1
Gallibacterium_anatis_UMN179	0
Gibbsiella_quercinecans_FRB97	0
Gilliamella_apicola_wkB1	1
Glaciecola_nitratireducens_FR1064	1
Glaesserella_parasuis_SH0165	0
Granulosicoccus_antarcticus_IMCC3135	1
Grimontia_hollisae_FDAARGOS_111	1
Guyparkeria_halophila_sp2	1
Gynuella_sunshinyii_YC6258	1
Haemophilus_aegyptius_NCTC8502	0
Haemophilus_ducreyi_35000HP	0
Haemophilus_haemolyticus_M19346	0
Haemophilus_influenzae_NCTC8143	0
Haemophilus_parahaemolyticus_NEB129	0
Haemophilus_parainfluenzae_T3T1	0
Haemophilus_pittmaniae_NCTC13334	0
Hafnia_alvei_FB1	1
Hafnia_paralvei_FDAARGOS_158	1
Hahella_chejuensis_KCTC_2396	1
Halioglobus_japonicus_NBRC_107739	1
Halioglobus_maricola_IMCC14385	0
Halomonas_aestuarii_Hb3	0
Halomonas_alkaliphila_X3	1
Halomonas_beimenensis_NTU-111	1
Halomonas_campaniensis_LS21	1
Halomonas_elongata_type_strain_DSM_2581	1
Halomonas_huangheensis_BJGMM-B45	1
Halomonas_hydrothermalis_Y2	1
Halomonas_meridiana_SCSIO_43005	1
Halomonas_socia_CKY01	1
Halomonas_subglaciescola_ACAM_12	1
Halomonas_titanicae_ANRCS81	1
Halomonas_venusta_MA-ZP17-13	1
Halorhodospira_halochloris_DSM_1059	1
Halorhodospira_halophila_SL1	1
Halotalea_alkalilenta_IHB_B_13600	1
Halothiobacillus_neapolitanus_c2	1
Histophilus_somni_2336	0
Hydrocarboniclastica_marina_soil36-7	1
Hydrogenovibrio_crunogenus_XCL-2	1
Hydrogenovibrio_thermophilus_JR-2	1
Idiomarina_andamanensis_W-5T	1
Idiomarina_loihiensis_L2TR	1
Idiomarina_piscisalsi_10PY1A	1
Immundisolibacter_cernigliae_TR3.2	1
Kangiella_geojedonensis_YCS-5	0
Kangiella_koreensis_DSM_16069	0
Kangiella_profundi_FT102	0
Kangiella_sediminilitoris_KCTC_23892	0
Ketobacter_alkanivorans_GI5	1
Klebsiella_aerogenes_KCTC_2190	1
Klebsiella_grimontii_SS141	0
Klebsiella_huaxiensis_WCHKl090001	0
Klebsiella_michiganensis_E718	0
Klebsiella_oxytoca_CAV1374	0
Klebsiella_pneumoniae_FDAARGOS_775	0
Klebsiella_quasipneumoniae_ATCC_700603	0
Klebsiella_quasivariicola_KPN1705	0
Klebsiella_variicola_DSM_15968	0
Kluyvera_intermedia_NCTC12125	1
Kosakonia_arachidis_KACC_18508	1
Kosakonia_cowanii_888-76	1
Kosakonia_oryzae_Ola_51	1
Kosakonia_radicincitans_DSM_16656	1
Kosakonia_sacchari_SP1	1
Kushneria_konosiri_X49	1
Kushneria_marisflavi_SW32	1
Lacimicrobium_alkaliphilum_YelD216	1
Leclercia_adecarboxylata_USDA-ARS-USMARC-60222	1
Legionella_adelaidensis_NCTC12735	0
Legionella_cherrii_NCTC11976	1
Legionella_clemsonensis_CDC-D5610	1
Legionella_endosymbiont_PsAG	0
Legionella_fallonii_LLAP-10	1
Legionella_geestiana_1308	1
Legionella_hackeliae_ATCC35250	1
Legionella_israelensis_Bercovier_4	0
Legionella_jordanis_NCTC11533	1
Legionella_lansingensis_NCTC12830	0
Legionella_longbeachae_NSW150	0
Legionella_oakridgensis_ATCC_33761_DSM_21215_OR-10	0
Legionella_pneumophila_NCTC12273	1
Legionella_sainthelensi_NCTC11988	0
Legionella_spiritensis_NCTC11990	1
Legionella_waltersii_NCTC13017	1
Lelliottia_amnigena_NCTC12124	1
Lelliottia_jeotgali_PFL01	1
Lelliottia_nimipressuralis_SGAir0187	1
Leminorella_richardii_NCTC12151	0
Limnobaculum_parvum_HYN0051	0
Litoricola_lipolytica_IMCC_1097	1
Litorilituus_sediminis_JCM_17549	1
Lonsdalea_britannica_477	1
Luteibacter_pinisoli_MAH-14	1
Luteibacter_rhizovicinus_LJ96	1
Lysobacter_antibioticus_ATCC_29479	0
Lysobacter_capsici_55	0
Lysobacter_enzymogenes_YC36	0
Lysobacter_gummosus_3.2.11	0
Lysobacter_lycopersici_CC-Bw-6	0
Lysobacter_maris_HZ9B	0
Lysobacter_oculi_Apr-83	0
Lysobacter_soli_XL170	1
Mannheimia_haemolytica_M42548	0
Mannheimia_succiniciproducens_MBEL55E	0
Mannheimia_varigena_USDA-ARS-USMARC-1296	0
Marichromatium_purpuratum_984	1
Marinobacter_fonticola_CS412	1
Marinobacter_hydrocarbonoclasticus_ATCC_49840	1
Marinobacterium_aestuarii_ST58-10	1
Marinobacter_psychrophilus_20041	1
Marinobacter_salarius_R9SW1	1
Marinobacter_salinus_Hb8	1
Marinobacter_similis_A3d10	1
Marinomonas_mediterranea_MMB-1	1
Marinomonas_posidonica_IVIA-Po-181	1
Marinomonas_primoryensis_AceL	1
Methylocaldum_marinum_S8	1
Methylococcus_capsulatus_Bath	0
Methylomicrobium_album_BG8	1
Methylomicrobium_alcaliphilum_20Z	1
Methylomicrobium_buryatense_5GB1C	1
Methylomonas_denitrificans_FJG1	1
Methylomonas_koyamae_LM6	1
Methylomonas_methanica_MC09	1
Methylophaga_frappieri_JAM7	1
Methylophaga_nitratireducenticrescens_JAM1	1
Methylovulum_psychrotolerans_HV10_M2	0
Microbulbifer_agarilyticus_GP101	0
Microbulbifer_aggregans_CCB-MM1	0
Microbulbifer_hydrolyticus_IRE-31	0
Microbulbifer_thermotolerans_DAU221	1
Mixta_calida_DSM_22759	1
Mixta_gaviniae_DSM_22758	1
Mixta_intestinalis_SRCM103226	1
Mixta_theicola_SRCM103227	1
Moraxella_bovis_Epp63_300	0
Moraxella_bovoculi_58069	0
Moraxella_catarrhalis_BBH18	0
Moraxella_cuniculi_NCTC10297	0
Moraxella_osloensis_CCUG_350	0
Moraxella_ovis_199_55	0
Morganella_morganii_KT	1
Moritella_marina_MP-1	1
Moritella_viscosa_NoStrain6	1
Moritella_yayanosii_DB21MT_5	1
Neptunomonas_concharum_JCM17730	1
Nitrosococcus_halophilus_Nc_4	1
Nitrosococcus_oceani_ATCC_19707	1
Nitrosococcus_wardiae_D1FHS	1
Nitrosococcus_watsonii_C-113	1
Obesumbacterium_proteus_DSM_2777	1
Oblitimonas_alkaliphila_B4199	0
Oceanicoccus_sagamiensis_NBRC_107125	1
Oceanisphaera_avium_AMac2203	1
Oceanisphaera_profunda_SM1222	1
Oleiphilus_messinensis_ME102	1
Oleispira_antarctica_NoStrain7	1
Otariodibacter_oris_Baika1	0
Pantoea_agglomerans_C410P1	1
Pantoea_alhagi_LTYR-11Z	1
Pantoea_ananatis_LMG_5342	1
Pantoea_eucalypti_LMG_24197	1
Pantoea_rwandensis_ND04	1
Pantoea_stewartii_DC283	1
Pantoea_vagans_LMG_24199	1
Paraglaciecola_mesophila_GPM4	1
Paraglaciecola_psychrophila_170	1
Paraphotobacterium_marinum_NSCS20N07D	1
Parashewanella_spongiae_HJ039	1
Pasteurella_aerogenes_NCTC13378	0
Pasteurella_dagmatis_NCTC11617	0
Pasteurella_multocida_ATCC_43137	0
Pectobacterium_atrosepticum_JG10-08	1
Pectobacterium_brasiliense_SX309	1
Pectobacterium_carotovorum_PC1	1
Pectobacterium_odoriferum_JK2.1	1
Pectobacterium_parmentieri_RNS_08-42-1A	1
Pectobacterium_polaris_NIBIO1006	1
Pectobacterium_wasabiae_CFBP_3304	1
Permianibacter_aggregans_HW001	1
Photobacterium_damselae_KC-Na-1	1
Photobacterium_gaetbulicola_Gung47	1
Photobacterium_profundum_SS9	1
Photorhabdus_asymbiotica_ATCC43949	1
Photorhabdus_laumondii_TT01	1
Photorhabdus_thracensis_DSM_15199	1
Phytobacter_ursingii_CAV1151	1
Piscirickettsia_salmonis_ATCC_VR-1361	1
Pistricoccus_aurantiacus_CBA4606	1
Plautia_stali_NoStrain3	0
Plesiomonas_shigelloides_NCTC10360	1
Pluralibacter_gergoviae_FB2	1
Pragia_fontium_24613	1
Proteus_cibarius_ZF2	1
Proteus_columbae_T60	1
Proteus_hauseri_15H5D-4a	1
Proteus_mirabilis_HI4320	1
Proteus_vulgaris_NCTC13145	1
Providencia_alcalifaciens_NCTC10286	0
Providencia_heimbachae_NCTC12003	1
Providencia_rettgeri_RB151	1
Providencia_rustigianii_NCTC6933	1
Providencia_sneebia_DSM_19967	1
Providencia_stuartii_MRSN_2154	1
Providencia_vermicola_P8538	1
Pseudoalteromonas_agarivorans_DSM_14585	1
Pseudoalteromonas_aliena_EH1	1
Pseudoalteromonas_arctica_A_37-1-2	1
Pseudoalteromonas_atlantica_T6c	1
Pseudoalteromonas_carrageenovora_KCTC_22325	1
Pseudoalteromonas_donghaensis_HJ51	1
Pseudoalteromonas_espejiana_ATCC_29659	1
Pseudoalteromonas_issachenkonii_KMM_3549	1
Pseudoalteromonas_luteoviolacea_S4054249	1
Pseudoalteromonas_marina_ECSMB14103	1
Pseudoalteromonas_nigrifaciens_KMM_661	1
Pseudoalteromonas_phenolica_KCTC_12086	1
Pseudoalteromonas_piratica_OCN003	1
Pseudoalteromonas_piscicida_DE2-B	1
Pseudoalteromonas_rubra_SCSIO_6842	1
Pseudoalteromonas_spongiae_UST010723-006	1
Pseudoalteromonas_tetraodonis_GFC	1
Pseudoalteromonas_translucida_KMM_520	1
Pseudoalteromonas_tunicata_D2	1
Pseudohongiella_spirulinae_KCTC_32221	1
Pseudolysobacter_antarcticus_AQ6-296	0
Pseudomonas_aeruginosa_DSM_50071	1
Pseudomonas_agarici_NCPPB_2472	1
Pseudomonas_alcaligenes_NEB_585	1
Pseudomonas_alcaliphila_JAB1	1
Pseudomonas_alkylphenolica_KL28	1
Pseudomonas_amygdali_NM002	1
Pseudomonas_antarctica_PAMC_27494	1
Pseudomonas_arsenicoxydans_CECT_7543	1
Pseudomonas_asplenii_ATCC_23835	1
Pseudomonas_asturiensis_CC1524	1
Pseudomonas_avellanae_R2leaf	1
Pseudomonas_azotoformans_S4	1
Pseudomonas_balearica_DSM6083_SP1402	1
Pseudomonas_brassicacearum_NFM421	1
Pseudomonas_brenneri_BS2771	1
Pseudomonas_cedrina_BS2981	1
Pseudomonas_cerasi_Sour_cherry_Prunus_cerasus_symptomatic_leaf	1
Pseudomonas_chlororaphis_DSM_19603	1
Pseudomonas_cichorii_JBC1	1
Pseudomonas_citronellolis_SJTE-3	1
Pseudomonas_corrugata_RM1-1-4	1
Pseudomonas_cremoricolorata_ND07	1
Pseudomonas_denitrificans_BG1	1
Pseudomonas_entomophila_L48	1
Pseudomonas_extremaustralis_DSM_17835	1
Pseudomonas_fluorescens_NCTC10038	1
Pseudomonas_fragi_NMC25	1
Pseudomonas_frederiksbergensis_ERDD5_01	1
Pseudomonas_fulva_12-X	1
Pseudomonas_furukawaii_KF707	1
Pseudomonas_fuscovaginae_LMG_2158	1
Pseudomonas_granadensis_LMG_27940	1
Pseudomonas_guangdongensis_CCTCC_2012022	1
Pseudomonas_knackmussii_B13	1
Pseudomonas_koreensis_D26	1
Pseudomonas_kribbensis_Feb-46	1
Pseudomonas_litoralis_2SM5	1
Pseudomonas_lurida_L228	1
Pseudomonas_luteola_FDAARGOS_637	1
Pseudomonas_mandelii_LMG_21607	1
Pseudomonas_marincola_YSy11	1
Pseudomonas_mendocina_ymp	1
Pseudomonas_monteilii_B5	1
Pseudomonas_moraviensis_R28-S	1
Pseudomonas_mosselii_BS011	1
Pseudomonas_mucidolens_NCTC8068	1
Pseudomonas_oleovorans_T9AD	1
Pseudomonas_orientalis_F9	1
Pseudomonas_oryzae_KCTC_32247	1
Pseudomonas_oryzihabitans_USDA-ARS-USMARC-56511	1
Pseudomonas_parafulva_CRS01-1	1
Pseudomonas_pelagia_Kongs-67	1
Pseudomonas_plecoglossicida_XSDHY-P	1
Pseudomonas_poae_RE_1-1-14	1
Pseudomonas_pohangensis_DSM_17875	0
Pseudomonas_prosekii_LMG_26867	1
Pseudomonas_protegens_CHA0	1
Pseudomonas_psychrophila_KM02	1
Pseudomonas_psychrotolerans_CS51	1
Pseudomonas_putida_NBRC_14164	1
Pseudomonas_resinovorans_NBRC_106553	1
Pseudomonas_rhizosphaerae_DSM_16299	1
Pseudomonas_sabulinigri_JCM_14963	1
Pseudomonas_salegens_CECT_8338	1
Pseudomonas_saudiphocaensis_20_BN	1
Pseudomonas_savastanoi_NCPPB_3335	1
Pseudomonas_sihuiensis_KCTC_32246	1
Pseudomonas_silesiensis_A3	1
Pseudomonas_simiae_PCL1751	1
Pseudomonas_soli_SJ10	1
Pseudomonas_stutzeri_CGMCC_1.1803	1
Pseudomonas_synxantha_NCTC10696	1
Pseudomonas_syringae_DC3000	1
Pseudomonas_syringae_Shaanxi_M228	1
Pseudomonas_taetrolens_NCTC10697	1
Pseudomonas_trivialis_IHBB745	1
Pseudomonas_vancouverensis_BS3656	1
Pseudomonas_veronii_R02	1
Pseudomonas_versuta_L10.10	1
Pseudomonas_viridiflava_CFBP_1590	1
Pseudomonas_xinjiangensis_NRRL_B-51270	1
Pseudomonas_yamanorum_LBUM636	1
Pseudoxanthomonas_spadix_BD-a59	1
Pseudoxanthomonas_suwonensis_01-Nov	1
Psychrobacter_alimentarius_PAMC_27889	0
Psychrobacter_arcticus_273-4	0
Psychrobacter_cryohalolentis_K5	0
Psychrobacter_sp_AU1044	1
Psychrobacter_urativorans_R10.10B	0
Psychromonas_ingrahamii_37	1
Rahnella_aquatilis_HX2	1
Raoultella_electrica_DSM_102253	0
Raoultella_ornithinolytica_B6	0
Raoultella_planticola_GODA	0
Raoultella_terrigena_NCTC13098	0
Reinekea_forsetii_Hel1_31_D35	1
Rhodanobacter_denitrificans_2APBS1	1
Rhodanobacter_glycinis_T01E-68	0
Rodentibacter_heylii_G1	0
Saccharophagus_degradans_2-40	1
Saccharospirillum_mangrovi_HK-33	1
Salinicola_tamaricis_F01	1
Salinimonas_lutimaris_DPSR-4	1
Salinimonas_sediminis_N102	1
Saliniradius_amylolyticus_HMF8227	1
Salinivibrio_kushneri_AL184	1
Salmonella_bongori_NCTC_12419	1
Salmonella_enterica_LT2	1
secondary_endosymbiont_Ceuc_S	0
secondary_endosymbiont_Hcub_S	0
secondary_endosymbiont_TRABTM	0
Sedimenticola_thiotaurini_SIP-G1	1
Serratia_ficaria_NCTC12148	1
Serratia_fonticola_DSM_4576	1
Serratia_liquefaciens_ATCC_27592	1
Serratia_marcescens_Db11	1
Serratia_odorifera_NCTC11214	1
Serratia_plymuthica_NCTC12961	0
Serratia_proteamaculans_336X	1
Serratia_quinivorans_NCTC13188	1
Serratia_rubidaea_1122	1
Serratia_symbiotica_IS	0
Shewanella_amazonensis_SB2B	1
Shewanella_baltica_OS678	1
Shewanella_benthica_DB21MT-2	1
Shewanella_bicestrii_JAB-1	1
Shewanella_denitrificans_OS217	1
Shewanella_donghaensis_LT17	1
Shewanella_frigidimarina_NCIMB_400	1
Shewanella_halifaxensis_HAW-EB4	1
Shewanella_japonica_KCTC_22435	1
Shewanella_livingstonensis_LMG_19866	1
Shewanella_loihica_PV-4	1
Shewanella_marisflavi_EP1	1
Shewanella_maritima_D4-2	1
Shewanella_oneidensis_MR-1	1
Shewanella_pealeana_ATCC_700345	1
Shewanella_piezotolerans_WP3	1
Shewanella_polaris_SM1901	1
Shewanella_psychrophila_WP2	1
Shewanella_putrefaciens_CN-32	1
Shewanella_sediminis_HAW-EB3	1
Shewanella_violacea_DSS12	1
Shewanella_woodyi_ATCC_51908	1
Shigella_boydii_ATCC_8700	1
Shigella_flexneri_ATCC_29903	1
Shigella_sonnei_53G	1
Shimwellia_blattae_DSM_4481	0
Simiduia_agarivorans_SA1_DSM_21679	1
Sodalis_endosymbiont_HBA	0
Sodalis_glossinidius_morsitans	1
Sodalis_praecaptivus_HS1	1
Spiribacter_roseus_SSL50	0
Spiribacter_salinus_M19-40	0
Stenotrophomonas_acidaminiphila_ZAC14D2_NAIMI4_2	1
Stenotrophomonas_maltophilia_K279a	1
Stenotrophomonas_nitritireducens_2001	1
Stenotrophomonas_rhizophila_QL-P4	1
Steroidobacter_denitrificans_DSM_18526	1
Succinivibrio_dextrinosolvens_Z6	1
Sulfuricaulis_limicola_HA5	0
Sulfuriflexus_mobilis_aks1	1
Sulfurifustis_variabilis_skN76	0
Sulfurivermis_fontis_JG42	1
Tatlockia_micdadei_ATCC33218	1
Tatumella_citrea_DSM_13699	1
Tatumella_ptyseos_NCTC11468	1
Teredinibacter_turnerae_T7901	1
Thalassolituus_oleivorans_MIL-1	1
Thalassotalea_crassostreae_LPB0090	0
Thermochromatium_tepidum_ATCC_43061	1
Thioalkalivibrio_nitratireducens_DSM_14787	0
Thioalkalivibrio_paradoxus_ARh_1	0
Thioalkalivibrio_sulfidiphilus_HL-EbGR7	1
