Strain	Flagellin
Labrenzia_alexandrii_DFL-11	1
Labrys_neptuniae_KNU-23	0
Leisingera_aquaemixtae_R2C4	1
Leisingera_methylohalidivorans_DSM_14336	1
Liberibacter_crescens_BT-1	1
Magnetococcus_marinus_MC-1	1
Magnetospirillum_gryphiswaldense_MSR-1	1
Magnetospirillum_magneticum_AMB-1	1
Maricaulis_maris_MCS10	1
Marinovum_algicola_DG_898	1
Martelella_endophytica_YC6887	0
Martelella_mediterranea_MACL11	0
Mesorhizobium_amorphae_CCNWGS0123	1
Mesorhizobium_australicum_WSM2073	1
Mesorhizobium_ciceri_WSM1284	1
Mesorhizobium_japonicum_MAFF_303099	1
Mesorhizobium_oceanicum_B7	1
Mesorhizobium_opportunistum_WSM2075	1
Mesorhizobium_sp_NIBRBAC000500504	1
Methylobacterium_aquaticum_MA-22A	1
Methylobacterium_currus_PR1016A	1
Methylobacterium_durans_17SD2-17	1
Methylobacterium_nodulans_ORS_2060	1
Methylobacterium_oryzae_CBMB20	1
Methylobacterium_phyllosphaerae_CBMB27	1
Methylobacterium_radiotolerans_JCM_2831	1
Methylobacterium_terrae_17Sr1-28	1
Methyloceanibacter_caenitepidi_Gela4	0
Methylocella_silvestris_BL2	1
Methylocella_tundrae_MTUNDRAET4_annotated_genome	1
Methylocystis_bryophila_S285	0
Methylocystis_heyeri_H2	0
Methylocystis_rosea_GW6	0
Methylorubrum_extorquens_TK_0001	1
Methylorubrum_populi_BJ001	1
Methylosinus_trichosporium_OB3b	1
Methylovirgula_ligni_BW863	1
Micavibrio_aeruginosavorus_ARL-13	1
Microvirga_ossetica_V5_3M	1
Neoasaia_chiangmaiensis_NBRC_101099	1
Neokomagataea_tanensis_AH13	1
Neorhizobium_galegae_HAMBI_540	1
Neorickettsia_helminthoeca_Oregon	0
Neorickettsia_risticii_Illinois	0
Neorickettsia_sennetsu_Miyayama	0
Nitrobacter_hamburgensis_X14	1
Nitrobacter_winogradskyi_Nb-255	1
Nitrospirillum_amazonense_CBAmC	1
Niveispirillum_cyanobacteriorum_TH16	1
Novosphingobium_aromaticivorans_DSM_12444	1
Novosphingobium_ginsenosidimutans_FW-6	1
Novosphingobium_pentaromativorans_US6-1	1
Novosphingobium_resinovorum_SA1	1
Novosphingobium_tardaugens_NBRC_16725	0
Ochrobactrum_anthropi_ATCC_49188	1
Ochrobactrum_pituitosum_AA2	1
Ochrobactrum_pseudogrignonense_K8	1
Ochrobactrum_quorumnocens_A44	1
Octadecabacter_antarcticus_307	1
Octadecabacter_arcticus_238	1
Octadecabacter_temperatus_SB1	1
Oligotropha_carboxidovorans_OM5	1
Orientia_tsutsugamushi_Boryong	0
Pannonibacter_phragmitetus_31801	1
Paracoccus_aminovorans_JCM7685	1
Paracoccus_contaminans_RKI_16-01929T	1
Paracoccus_denitrificans_PD1222	1
Paracoccus_jeotgali_CBA4604	1
Paracoccus_kondratievae_BJQ0001	1
Paracoccus_mutanolyticus_RSP-02	1
Paracoccus_pantotrophus_DSM_2944	1
Paracoccus_yeei_FDAARGOS_252	1
Paracoccus_zhejiangensis_J6	1
Paraoceanicella_profunda_D4M1	1
Pararhodospirillum_photometricum_DSM_122	1
Parasaccharibacter_apium_G7_7_3c	1
Parvibaculum_lavamentivorans_DS-1	1
Parvularcula_bermudensis_HTCC2503	1
Pelagibaca_abyssi_JLT2014	1
Pelagibacterium_halotolerans_B2	1
Phaeobacter_gallaeciensis_DSM_26640	1
Phaeobacter_inhibens_DSM_17395	1
Phaeobacter_piscinae_P14	1
Phaeobacter_porticola_P97	1
Phenylobacterium_zucineum_HLK1	1
Phreatobacter_cathodiphilus_S-12	1
Phreatobacter_stygius_KCTC_52518	1
Phyllobacterium_zundukense_Tri-48	1
Polymorphum_gilvum_SL003B-26A1	1
Porphyrobacter_neustonensis_DSM_9434	1
Pseudohalocynthiibacter_aestuariivivens_RR4-35	0
Pseudolabrys_taiwanensis_CC-BB4	1
Pseudorhodoplanes_sinuspersici_RIPI110	1
Qipengyuania_sediminis_CGMCC_1.12928	0
Rhizobium_acidisoli_FH23	1
Rhizobium_daejeonense_KACC_13094	1
Rhizobium_esperanzae_N561	1
Rhizobium_etli_CFN_42	1
Rhizobium_favelukesii_LPU83	1
Rhizobium_flavum_YW14	1
Rhizobium_gallicum_IE4872	1
Rhizobium_grahamii_BG7	1
Rhizobium_jaguaris_CCGE525	1
Rhizobium_leguminosarum_Vaf-108	1
Rhizobium_phaseoli_R650	1
Rhizobium_pseudoryzae_DSM_19479	1
Rhizobium_pusense_CFBP5875	1
Rhizobium_rhizoryzae_DSM_29514	1
Rhizobium_tropici_CIAT_899	1
Rhizorhabdus_dicambivorans_Ndbn-20	1
Rhodobaca_barguzinensis_alga05	1
Rhodobacteraceae_bacterium_G7	0
Rhodobacter_blasticus_28_5	1
Rhodobacter_capsulatus_SB_1003	1
Rhodobacter_sphaeroides_2.4.1	1
Rhodobiaceae_bacterium_SMS8	1
Rhodomicrobium_vannielii_ATCC_17100	1
Rhodopseudomonas_palustris_BisB18	1
Rhodospirillum_centenum_SW	1
Rhodospirillum_rubrum_ATCC_11170	1
Rhodovulum_sulfidophilum_DSM_1374	1
Rickettsia_akari_Hartford	0
Rickettsia_asiatica_Maytaro1284	0
Rickettsia_australis_Cutlack	0
Rickettsia_bellii_RML369-C	0
Rickettsia_canadensis_McKiel	0
Rickettsia_conorii_Malish_7	0
Rickettsia_endosymbiont_REIS	0
Rickettsia_felis_URRWXCal2	0
Rickettsia_heilongjiangensis_54	0
Rickettsia_helvetica_C9P9	0
Rickettsia_japonica_YH	0
Rickettsiales_endosymbiont_RICK01	1
Rickettsia_monacensis_IrR_Munich	0
Rickettsia_prowazekii_Breinl	0
Rickettsia_raoultii_Khabarovsk	0
Rickettsia_rhipicephali_3-7-female6-CWPP	0
Rickettsia_rickettsii_Iowa	0
Rickettsia_sibirica_246	0
Rickettsia_slovaca_13-B	0
Rickettsia_sp_MEAM1	0
Rickettsia_typhi_Wilmington	0
Roseibacterium_elongatum_DFL-43	1
Roseitalea_porphyridii_MA7-20	1
Roseobacter_denitrificans_OCh_114	1
Roseobacter_litoralis_Och_149	1
Roseomonas_gilardii_U14-5	1
Roseomonas_mucosa_FDAARGOS_658	1
Roseovarius_indicus_DSM_26383	1
Roseovarius_mucosus_SMR3	1
Ruegeria_pomeroyi_DSS-3	1
Salaquimonas_pukyongi_RR3-28	1
Salipiger_profundus_JLT2016	1
Silicimonas_algicola_KC90	0
Sinorhizobium_americanum_CCGM7	1
Sinorhizobium_fredii_CCBAU_25509	1
Sinorhizobium_medicae_WSM419	1
Sinorhizobium_meliloti_RU11_001	1
Skermanella_pratensis_W17	1
Sphingobium_amiense_DSM_16289	1
Sphingobium_baderi_DE-13	1
Sphingobium_chlorophenolicum_L-1	1
Sphingobium_cloacae_JCM_10874	1
Sphingobium_fuliginis_ATCC_27551	1
Sphingobium_herbicidovorans_MH	1
Sphingobium_hydrophobicum_C1	1
Sphingobium_indicum_B90A	1
Sphingobium_japonicum_UT26S	1
Sphingomonas_ginsengisoli_KACC_16858	1
Sphingomonas_hengshuiensis_WHSC-8	1
Sphingomonas_indica_Dd16	1
Sphingomonas_insulae_KCTC_12872	1
Sphingomonas_koreensis_ABOJV	1
Sphingomonas_melonis_TY	1
Sphingomonas_panacis_DCY99	0
Sphingomonas_sanxanigenens_NX02	0
Sphingomonas_taxi_ATCC_55669	1
Sphingomonas_wittichii_RW1	1
Sphingopyxis_alaskensis_RB2256	1
Sphingopyxis_fribergensis_Kp5.2	1
Sphingopyxis_granuli_TFA	1
Sphingopyxis_lindanitolerans_WS5A3p	1
Sphingopyxis_macrogoltabida_203	1
Sphingosinicella_microcystinivorans_B9	1
Stappia_indica_PHM037	1
Starkeya_novella_DSM_506	0
Stella_humosa_ATCC_43930	0
Sulfitobacter_pseudonitzschiae_SMR1	0
Swingsia_samuiensis_AH83	1
Tardibacter_chloracetimidivorans_JJ-A5	1
Tateyamaria_omphalii_DOK1-4	1
Thalassospira_indica_PB8BT	1
Thalassospira_marina_CSC3H3	1
Thalassospira_xiamenensis_M-5	1
Thioclava_nitratireducens_25B10_4	1
Tistrella_mobilis_KA081020-065	1
Variibacter_gotjawalensis_GJW-30	0
Wolbachia_endosymbiont_Berlin	0
Wolbachia_endosymbiont_Cameroon	0
Wolbachia_endosymbiont_W2.1	0
Wolbachia_endosymbiont_wBm	0
Wolbachia_endosymbiont_wCauA	0
Wolbachia_endosymbiont_wCle	0
Wolbachia_endosymbiont_wMau	0
Wolbachia_endosymbiont_wMeg	0
Wolbachia_endosymbiont_wMel	0
Wolbachia_endosymbiont_wNo	0
Wolbachia_endosymbiont_wOo	0
Wolbachia_endosymbiont_wPip	0
Wolbachia_endosymbiont_wTpre	0
Wolbachia_pipientis_wAlbB	0
Xanthobacter_autotrophicus_Py2	0
Yangia_pacifica_YSBP01	1
Yoonia_vestfoldensis_SMR4r	1
Youhaiella_tibetensis_fig4	1
Zymomonas_mobilis_ATCC_10988	1
Achromobacter_denitrificans_USDA-ARS-USMARC-56712	1
Achromobacter_insolitus_DSM_23807	1
Achromobacter_ruhlandii_SCCH3_ACH_33-1365	1
Achromobacter_spanius_DSM_23806	1
Achromobacter_xylosoxidans_NCTC10807	1
Acidovorax_avenae_ATCC_19860	1
Acidovorax_carolinensis_NA3	1
Acidovorax_citrulli_AAC00-1	1
Advenella_kashmirensis_WT001	0
Advenella_mimigardefordensis_DPN7	0
Alcaligenes_aquatilis_QD168	1
Alcaligenes_faecalis_ZD02	1
Alicycliphilus_denitrificans_K601	1
Aquabacterium_olei_NBRC_110486	1
Aquitalea_denitrificans_5YN1-3	1
Aquitalea_magnusonii_H3	1
Aromatoleum_aromaticum_EbN1	0
Azoarcus_communis_TSNA42	1
Azoarcus_olearius_DQS4	1
Azospira_oryzae_PS	1
Basilea_psittacipulmonis_DSM_24701	0
Bordetella_avium_197N	1
Bordetella_bronchialis_AU3182	1
Bordetella_bronchiseptica_FDAARGOS_176	1
Bordetella_flabilis_AU10664	1
Bordetella_genomosp_AU17164	1
Bordetella_genomosp_AU19157	1
Bordetella_genomosp_AU22978	1
Bordetella_genomosp_AU7206	1
Bordetella_hinzii_F582	1
Bordetella_holmesii_ATCC_51541	1
Bordetella_parapertussis_Bpp01	1
Bordetella_pertussis_18323	1
Bordetella_petrii_DSM_12804	1
Bordetella_pseudohinzii_HI4681	1
Bordetella_trematum_H044680328	1
Burkholderia_ambifaria_AMMD	1
Burkholderia_anthina_AZ-4-2-10-S1-D7	1
Burkholderia_cenocepacia_J2315	1
